;pt;standard_pt
1678;anti-hbs antibody;hepatitis b surface antibody
1679;venipuncture site thrombosis;vessel puncture site thrombosis
1680;isoimmunisation;alloimmunisation
1681;urine human chorionic gonadotropin decreased;human chorionic gonadotropin decreased
1682;acid hemolysin test;acid haemolysin test
1683;breast neoplasm male;breast neoplasm
1684;female pattern baldness;androgenetic alopecia
1685;pararenal pseudocyst;urinoma
1686;helicobacter pylori identification test negative;helicobacter test negative
1687;multiple endocrine adenomatosis;multiple endocrine neoplasia
1688;femoral nerve lesion;peripheral nerve lesion
1689;penile malignant neoplasm;penile cancer
1690;post procedural headache;procedural headache
1691;mycoplasma serology;mycoplasma test
1692;refractory anaemia with excess blasts in transformation;myelodysplastic syndrome transformation
1693;pertussis identification test positive;bordetella test positive
1694;orthopedic examination;orthopaedic examination
1695;hepatobiliary carcinoma in situ;hepatobiliary cancer in situ
1696;multiple endocrine adenomatosis type ii;multiple endocrine neoplasia type 2
1697;mesothelioma malignant advanced;mesothelioma malignant
1698;detached retina repair;retinopexy
1699;cosmetic body piercing;body modification
1700;blood amino acid level decreased;amino acid level decreased
1701;adenosine deaminase deficiency;combined immunodeficiency
1702;portal anastomosis;portal shunt procedure
1703;intraocular lens opacity;device material opacification
1704;vaginal examination abnormal;gynaecological examination abnormal
1705;brucella serology positive;brucella test positive
1706;syphilis test;treponema test
1707;tumour related complication;oncologic complication
1708;immotile cilia syndrome;primary ciliary dyskinesia
1709;blood human chorionic gonadotropin negative;human chorionic gonadotropin negative
1710;amaurotic familial idiocy;gm2 gangliosidosis
1711;cytomegalovirus antigen;cytomegalovirus test
1712;adnexitis;salpingo-oophoritis
1713;paracentesis abdomen abnormal;peritoneal fluid analysis abnormal
1714;respiratory syncytial virus serology positive;respiratory syncytial virus test positive
1715;first use syndrome;dialysis membrane reaction
1716;japan coma scale;coma scale
1717;cytomegalovirus serology;cytomegalovirus test
1718;chemodectoma;paraganglion neoplasm
1719;hyperpallaesthesia;vibratory sense increased
1720;intraocular lens complication;eye complication associated with device
1721;postpartum vaginal laceration;vulvovaginal injury
1722;jejunal fistula;fistula of small intestine
1723;palatitis;stomatitis
1724;plasma expander transfusion;blood volume expansion
1725;artificial bladder implantation;neobladder surgery
1726;bile duct cancer non-resectable;bile duct cancer
1727;pericolic abscess;colonic abscess
1728;catheter site effusion;catheter site extravasation
1729;chad2ds2-vasc score increased;cha2ds2-vasc annual stroke risk high
1730;ear piercing;body modification
1731;urea cycle enzyme deficiency;urea cycle disorder
1732;hyperinsulinism syndrome;congenital hyperinsulinaemic hypoglycaemia
1733;paravalvular aortic regurgitation;paravalvular regurgitation
1734;vascular stent infection;vascular device infection
1735;dental subluxation;tooth dislocation
1736;spongiform cardiomyopathy;non-compaction cardiomyopathy
1737;acardia;twin reversed arterial perfusion sequence malformation
1738;lymphoid hyperplasia of appendix;lymphoid hyperplasia of intestine
1739;plasma exchange;plasmapheresis
1740;communication issue;product communication issue
1741;arterial bypass stenosis;vascular graft stenosis
1742;nuclear magnetic resonance imaging neck;magnetic resonance imaging neck
1743;nuclear magnetic resonance imaging joint;magnetic resonance imaging joint
1744;immune-mediated pancytopenia;immune-mediated cytopenia
1745;magnetic resonance imaging liver abnormal;magnetic resonance imaging hepatobiliary abnormal
1746;aortic bifurcation graft;aortic bypass
1747;fat necrosis of breast;breast necrosis
1748;pertussis serology positive;bordetella test positive
1749;varicose veins ligation;venous ligation
1750;peritoneal mesothelioma malignant advanced;peritoneal mesothelioma malignant
1751;gastrectomy total;gastrectomy
1752;bacterial corneal ulcer;keratitis bacterial
1753;synchysis scintillans;cholesterolosis bulbi
1754;glaucoma congenital;developmental glaucoma
1755;spinal muscular atrophy congenital;spinal muscular atrophy
1756;ligament repair;ligament operation
1757;ommaya reservoir placement;cerebrospinal fluid reservoir placement
1758;gastroenteritis noninfectious;gastrointestinal inflammation
1759;hiv infection cdc category a1;hiv infection cdc category a
1760;intra-nasal antrostomy;sinus antrostomy
1761;bladder tumour resection;bladder neoplasm surgery
1762;foot crushing;limb crushing injury
1763;htlv-1 antigen positive;htlv-1 test positive
1764;genu varum congenital;congenital knee deformity
1765;venipuncture site bruise;vessel puncture site bruise
1766;chlamydia serology;chlamydia test
1767;orbital implant insertion;eye prosthesis insertion
1768;uveal effusion syndrome;choroidal effusion
1769;urine amino acid level abnormal;amino acid level abnormal
1770;htlv-2 antibody positive;htlv-2 test positive
1771;bone fragmentation around implant;bone fragmentation
1772;neuron-specific enolase decreased;neurone-specific enolase decreased
1773;urine amylase;amylase
1774;finger crushing;limb crushing injury
1775;acral lentiginous melanoma stage unspecified;acral lentiginous melanoma
1776;subtotal hysterectomy;hysterectomy
1777;congenital hydrocele;hydrocele
1778;human papilloma virus serology test positive;human papilloma virus test positive
1779;hand crushing;limb crushing injury
1780;contact lens discolouration;device colour issue
1781;diuretic abuse;drug abuse
1782;cerebral neuroblastoma;central nervous system neuroblastoma
1783;battered wife;victim of spousal abuse
1784;dentinogenesis imperfecta;tooth hypoplasia
1785;injection site sclerosis;injection site induration
1786;radiation exposure in utero;foetal exposure during pregnancy
1787;genu varum;knee deformity
1788;pes cavus;foot deformity
1789;pharyngeal gonococcal infection;oropharyngeal gonococcal infection
1790;olivopontocerebellar atrophy;multiple system atrophy
1791;postoperative dizziness;procedural dizziness
1792;partial mastectomy;breast conserving surgery
1793;arteriovenous graft site complication;vascular graft complication
1794;bladder catheter management;catheter management
1795;cervical rib excision;rib excision
1796;vaccine exposure during pregnancy;exposure during pregnancy
1797;immunodeficiency with increased immunoglobulin m;hyper igm syndrome
1798;pain inflammation activated;inflammatory pain
1799;gallbladder drainage;biliary catheter insertion
1800;latissimus dorsi flap;muscle flap operation
1801;sialidosis;mucolipidosis type i
1802;thrombophlebitis of vena cava;vena cava thrombosis
1803;radial nerve lesion;peripheral nerve lesion
1804;penile cellulitis;cellulitis of male external genital organ
1805;gait hemiplegic;gait spastic
1806;bronchial cyst;bronchogenic cyst
1807;myocarditis rheumatic;myocarditis post infection
1808;eyelid scales;eyelid exfoliation
1809;estrogenic effect;oestrogenic effect
1810;colitis viral;enterocolitis viral
1811;partial adrenalectomy;adrenalectomy
1812;hydrocele excision;hydrocele operation
1813;pacing threshold decreased;device pacing issue
1814;coxsackie virus serology test;coxsackie virus test
1815;lens implant removal;lens extraction
1816;pyelogram retrograde abnormal;urogram abnormal
1817;uterine fibroid embolisation;uterine leiomyoma embolisation
1818;retinal naevus;eye naevus
1819;uthoff's phenomenon;uhthoff's phenomenon
1820;ventriculogram;cardiac ventriculogram
1821;foetal hydantoin syndrome;foetal anticonvulsant syndrome
1822;cytomegalovirus proctocolitis;cytomegalovirus colitis
1823;lochia malodourous;lochial infection
1824;skin squamous cell carcinoma surgery;skin neoplasm excision
1825;spinal infection viral;viral myelitis
1826;perianal fungal infection;anal fungal infection
1827;legionella serology;legionella test
1828;asthma exacerbation prophylaxis;asthma prophylaxis
1829;solitary kidney secondary;single functional kidney
1830;pneumatic retinopexy;retinopexy
1831;segmented hyalinizing vasculitis;segmented hyalinising vasculitis
1832;stent-graft material failure;device material issue
1833;conductive keratoplasty;keratoplasty
1834;finger nail removal;nail operation
1835;pneumonitis toxoplasmal;pneumonia toxoplasmal
1836;hiv infection cdc category b3;hiv infection cdc category b
1837;tertiary sequestrum;bone sequestrum
1838;virus serology test negative;viral test negative
1839;viral iritis;viral uveitis
1840;borrelia burgdorferi serology negative;borrelia test negative
1841;hiv infection cdc category c3;hiv infection cdc category c
1842;mixed venous blood saturation decreased;venous oxygen saturation decreased
1843;embolism infective;septic embolus
1844;unspecified agent exposure during pregnancy;exposure during pregnancy
1845;reduced dexterity;fine motor skill dysfunction
1846;mycobacteria test;mycobacterium test
1847;cold compress therapy;cooling therapy
1848;mammary microductectomy;mammary ductectomy
1849;heel nodule excision;mass excision
1850;hydrocele repair;hydrocele operation
1851;intestinal gastric metaplasia;chronic gastritis
1852;cyclic citrullinated peptide a increased;anti-cyclic citrullinated peptide antibody positive
1853;haematomyelia;spinal cord haemorrhage
1854;diphtheria toxin antibody decreased;corynebacterium test negative
1855;hiv infection cdc category b1;hiv infection cdc category b
1856;nicotine poisoning;tobacco poisoning
1857;curetting of chalazion;eyelid cyst removal
1858;stereotactic surgery;surgery
1859;urine human chorionic gonadotropin negative;human chorionic gonadotropin negative
1860;blood amylase normal;amylase normal
1861;contact lens deterioration;device material issue
1862;tuberculosis test;mycobacterium tuberculosis complex test
1863;urine amylase decreased;amylase decreased
1864;blood human chorionic gonadotropin;human chorionic gonadotropin
1865;liposarcoma non-metastatic;liposarcoma
1866;hodgkin's disease nodular sclerosis stage ii supradiaphragmatic;hodgkin's disease nodular sclerosis stage ii
1867;sperm count increased;sperm concentration increased
1868;cytomegalovirus antibody;cytomegalovirus test
1869;lymphatic duct rupture;lymphatic duct injury
1870;fungus serology test;fungal test
1871;pseudomonas pseudomallei infection;burkholderia pseudomallei infection
1872;tuberculosis serology test positive;mycobacterium tuberculosis complex test positive
1873;pancreatic carcinoma resectable;pancreatic carcinoma
1874;venipuncture site inflammation;vessel puncture site inflammation
1875;vocal cord lipoinjection;vocal cord augmentation
1876;majocchi's purpura;chronic pigmented purpura
1877;intraperitoneal hyperthermic chemotherapy;hyperthermic chemotherapy
1878;anti-hbs antibody negative;hepatitis b surface antibody negative
1879;ectopic parathormone production;ectopic parathyroid hormone production
1880;mucopolysaccharidosis ih/s;mucopolysaccharidosis i
1881;mucopolysaccharidosis ih;mucopolysaccharidosis i
1882;hypersomnia related to another mental condition;hypersomnia
1883;hutchinson's summer prurigo;actinic prurigo
1884;nipple ulceration;breast ulceration
1885;hiv infection cdc category c2;hiv infection cdc category c
1886;mixed salivary tumour;pleomorphic adenoma
